timestamp,db_level,measurement_type,note
2022/7/1 0:00,40,Continuous_Log,
2022/7/1 0:10,37.4,Continuous_Log,
2022/7/1 0:20,40.6,Continuous_Log,
2022/7/1 0:30,44.1,Continuous_Log,
2022/7/1 0:40,37.1,Continuous_Log,
2022/7/1 0:50,37.1,Continuous_Log,
2022/7/1 1:00,44.3,Continuous_Log,
2022/7/1 1:10,41.1,Continuous_Log,
2022/7/1 1:20,36.1,Continuous_Log,
2022/7/1 1:30,40.2,Continuous_Log,
2022/7/1 1:40,36.1,Continuous_Log,
2022/7/1 1:50,36.1,Continuous_Log,
2022/7/1 2:00,39,Continuous_Log,
2022/7/1 2:10,30.3,Continuous_Log,
2022/7/1 2:20,31.1,Continuous_Log,
2022/7/1 2:30,35.8,Continuous_Log,
2022/7/1 2:40,93.7,Event_Trigger,Impact_Severe
2022/7/1 2:50,39.3,Continuous_Log,
2022/7/1 3:00,34.4,Continuous_Log,
2022/7/1 3:10,32.4,Continuous_Log,
2022/7/1 3:20,43.9,Continuous_Log,
2022/7/1 3:30,37.1,Continuous_Log,
2022/7/1 3:40,38.3,Continuous_Log,
2022/7/1 3:50,80.4,Event_Trigger,Vibration_Detected
2022/7/1 4:00,35.8,Continuous_Log,
2022/7/1 4:10,92.1,Event_Trigger,Impact_Severe
2022/7/1 4:20,33.4,Continuous_Log,
2022/7/1 4:30,87.6,Event_Trigger,Impact_Severe
2022/7/1 4:40,35.6,Continuous_Log,
2022/7/1 4:50,36.8,Continuous_Log,
2022/7/1 5:00,35.6,Continuous_Log,
2022/7/1 5:10,45.4,Continuous_Log,
2022/7/1 5:20,37.9,Continuous_Log,
2022/7/1 5:30,33.8,Continuous_Log,
2022/7/1 5:40,41.3,Continuous_Log,
2022/7/1 5:50,33.1,Continuous_Log,
2022/7/1 6:00,38.8,Continuous_Log,
2022/7/1 6:10,30.2,Continuous_Log,
2022/7/1 6:20,32.7,Continuous_Log,
2022/7/1 6:30,38.8,Continuous_Log,
2022/7/1 6:40,41,Continuous_Log,
2022/7/1 6:50,38.7,Continuous_Log,
2022/7/1 7:00,37.5,Continuous_Log,
2022/7/1 7:10,36.8,Continuous_Log,
2022/7/1 7:20,32.1,Continuous_Log,
2022/7/1 7:30,35.1,Continuous_Log,
2022/7/1 7:40,36.2,Continuous_Log,
2022/7/1 7:50,42.2,Continuous_Log,
2022/7/1 8:00,39.4,Continuous_Log,
2022/7/1 8:10,30.9,Continuous_Log,
2022/7/1 8:20,39.3,Continuous_Log,
2022/7/1 8:30,36.5,Continuous_Log,
2022/7/1 8:40,35.3,Continuous_Log,
2022/7/1 8:50,40.4,Continuous_Log,
2022/7/1 9:00,42.1,Continuous_Log,
2022/7/1 9:10,41.7,Continuous_Log,
